"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Healix Infusion Therapy, LLC","TX","Business Associate","10277","12/11/2023","Hacking/IT Incident","Network Server","Yes",""
"Keenan & Associates","CA","Health Plan","4631","12/11/2023","Hacking/IT Incident","Network Server","No",""
"Health Alliance Hospital Mary's Avenue Campus","NY","Healthcare Provider","264197","12/11/2023","Hacking/IT Incident","Network Server","No",""
"Independent Living Systems, LLC","FL","Business Associate","123651","12/08/2023","Hacking/IT Incident","Network Server","Yes",""
"Akumin Operating Corp.","FL","Healthcare Provider","7127","12/06/2023","Hacking/IT Incident","Network Server","No",""
"The Children’s Home of Wyoming Conference","NY","Healthcare Provider","1111","12/01/2023","Hacking/IT Incident","Network Server","No",""
"Community Healthcare Network, Inc. ","NY","Healthcare Provider","500","11/30/2023","Hacking/IT Incident","Network Server","No",""
"F&E Aviation Holdings, Inc.","FL","Health Plan","3097","11/30/2023","Hacking/IT Incident","Network Server","No",""
"W.P. Malone, Inc. d/b/a AllCare Pharmacy","AR","Healthcare Provider","16341","11/29/2023","Hacking/IT Incident","Network Server","No",""
"Foursquare Healthcare, Ltd.","TX","Healthcare Provider","10890","11/27/2023","Hacking/IT Incident","Network Server","No",""
"Equality Health, LLC","AZ","Healthcare Provider","9240","11/27/2023","Hacking/IT Incident","Email","No",""
"Morrison Community Hospital District","IL","Healthcare Provider","122488","11/23/2023","Hacking/IT Incident","Network Server","No",""
"Molina Healthcare of Iowa, Inc.","IA","Business Associate","1647","11/22/2023","Hacking/IT Incident","Email","Yes",""
"TGI Direct, Inc.","MI","Business Associate","16113","11/21/2023","Hacking/IT Incident","Network Server","Yes",""
"1st Source Bank","IN","Business Associate","1477","11/20/2023","Hacking/IT Incident","Network Server","Yes",""
"Community Dental","ME","Healthcare Provider","1523","11/17/2023","Hacking/IT Incident","Network Server","No",""
"Community Health Network, Inc.","IN","Healthcare Provider","2271","11/17/2023","Hacking/IT Incident","Email, Other","No",""
"Psychiatry Associates of Kansas City","KS","Healthcare Provider","18255","11/17/2023","Hacking/IT Incident","Network Server","No",""
"Wyoming County Community Health System","NY","Healthcare Provider","26000","11/16/2023","Hacking/IT Incident","Network Server","No",""
"CareTree, Inc.","IL","Business Associate","1097","11/15/2023","Hacking/IT Incident","Network Server","Yes",""
"Woodfords Family Services","ME","Healthcare Provider","6691","11/10/2023","Hacking/IT Incident","Network Server","No",""
"Mariner Management Group ","OH","Healthcare Provider","1756","11/08/2023","Hacking/IT Incident","Network Server","No",""
"BBRx Pharmacy","NY","Healthcare Provider","501","11/07/2023","Hacking/IT Incident","Network Server","No",""
"Mannings 8th Ave Inc.","NY","Healthcare Provider","501","11/07/2023","Hacking/IT Incident","Network Server","No",""
"Confucius Pharmacy","NY","Healthcare Provider","501","11/07/2023","Hacking/IT Incident","Network Server","No",""
"WellLife Network Inc.","NY","Healthcare Provider","43875","11/06/2023","Hacking/IT Incident","Network Server","No",""
"Healthsoft LLC","GA","Business Associate","1000","11/06/2023","Hacking/IT Incident","Network Server","Yes",""
"South Austin Health Imaging LLC dba Longhorn Imaging Center","TX","Healthcare Provider","100643","11/03/2023","Hacking/IT Incident","Network Server","Yes",""
"WACOSA","MN","Healthcare Provider","1380","11/03/2023","Hacking/IT Incident","Network Server","No",""
"Mulkay Cardiology Consultants at Holy Name Medical Center, P.C.","NJ","Healthcare Provider","79582","11/03/2023","Hacking/IT Incident","Network Server","No",""
"Claxton-Hepburn Medical Center","NY","Healthcare Provider","757","11/02/2023","Hacking/IT Incident","Network Server","No",""
"Postmeds, Inc.","CA","Healthcare Provider","2364359","10/30/2023","Hacking/IT Incident","Network Server","Yes",""
"Longhorn Village","TX","Healthcare Provider","1670","10/30/2023","Hacking/IT Incident","Email","No",""
"Frederiksted Health Care, Inc.","","Healthcare Provider","600","10/30/2023","Hacking/IT Incident","Network Server","No",""
"Northern Iowa Therapy PC","IA","Business Associate","5100","10/29/2023","Hacking/IT Incident","Network Server","Yes",""
"JDA eHealth Systems, Inc. d/b/a Parathon","IL","Business Associate","8099","10/27/2023","Hacking/IT Incident","Network Server","Yes",""
"Hospital Sisters Health System","IL","Business Associate","500","10/26/2023","Hacking/IT Incident","Network Server","Yes",""
"Hospital & Medical Foundation of Paris, Inc","IL","Healthcare Provider","16598","10/19/2023","Hacking/IT Incident","Network Server","Yes",""
"BHI Energy Health and Welfare Benefits Plan","MA","Health Plan","4049","10/18/2023","Hacking/IT Incident","Network Server","No",""
"Premier Health Partners and wholly owned covered entities listed in description section below","OH","Healthcare Provider","10833","10/12/2023","Hacking/IT Incident","Network Server","No",""
"Carle Health ","IL","Healthcare Provider","679","10/05/2023","Hacking/IT Incident","Network Server","Yes",""
"Region 4 South Mental Health Consortium","MN","Healthcare Provider","571","10/05/2023","Hacking/IT Incident","Network Server","No",""
"Arietis Health, LLC","FL","Business Associate","1975066","09/29/2023","Hacking/IT Incident","Network Server","Yes",""
"International Business Machines Corporation","NY","Business Associate","630755","09/29/2023","Unauthorized Access/Disclosure","Other","Yes",""
"Physio Logic Chiropractic and Physical Therapy, PLLC and Dr. Patty DiBlasio, PC","NY","Healthcare Provider","9580","09/29/2023","Hacking/IT Incident","Network Server","No",""
"Acadia Health, LLC d/b/a Just Kids Dental","AL","Healthcare Provider","129463","09/27/2023","Hacking/IT Incident","Network Server","No",""
"AIDS Alabama, Inc.","AL","Healthcare Provider","1922","09/26/2023","Hacking/IT Incident","Network Server","No",""
"Community First Medical Center","IL","Healthcare Provider","216047","09/26/2023","Hacking/IT Incident","Network Server","No",""
"Navvis & Company, LLC","MO","Business Associate","2824726","09/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Pharm-Pacc Corporation","FL","Business Associate","3749","09/12/2023","Hacking/IT Incident","Network Server","Yes",""
"Delta Dental of California","CA","Health Plan","501","09/05/2023","Hacking/IT Incident","Network Server","No",""
"North Mississippi Medical Center, Inc.","MS","Healthcare Provider","950","09/01/2023","Hacking/IT Incident","Email","No",""
"PurFoods, LLC","IA","Healthcare Provider","1229333","08/25/2023","Hacking/IT Incident","Network Server","No",""
"Advanced Reproductive Health Center Ltd., d/b/a Chicago IVF","IL","Healthcare Provider","2603","08/18/2023","Hacking/IT Incident","Network Server","Yes",""
"Aspen Dental Management, Inc.","NY","Business Associate","62183","08/18/2023","Hacking/IT Incident","Network Server","Yes",""
"TAG Urgent Care Support Services, LLC","NY","Business Associate","516985","08/18/2023","Hacking/IT Incident","Network Server","Yes",""
"Privia Medical Group of Georgia, LLC","GA","Healthcare Provider","212789","08/18/2023","Hacking/IT Incident","Network Server","Yes",""
"SouthCoast Medical Group, LLC","GA","Healthcare Provider","501","08/17/2023","Hacking/IT Incident","Network Server","No",""
"Nice Pak Products Inc., Health and Welfare Benefits Plan","NJ","Health Plan","8487","08/14/2023","Hacking/IT Incident","Network Server","No",""
"TRACT Radiology","MS","Business Associate","7810","08/14/2023","Hacking/IT Incident","Network Server","Yes",""
"VNS Health Plans","NY","Health Plan","103775","08/14/2023","Hacking/IT Incident","Network Server","Yes",""
"El Centro Del Barrio d/b/a CentroMed","TX","Healthcare Provider","350000","08/11/2023","Hacking/IT Incident","Network Server","No",""
"Coastal Orthopedics & Sports Medicine of Southwest Florida","FL","Healthcare Provider","203427","08/10/2023","Hacking/IT Incident","Network Server","No",""
"Allison Transmission Inc. Health Care Program for Hourly Employees / Wellness Program for Salaried Employees","IN","Business Associate","5330","08/10/2023","Hacking/IT Incident","Network Server","Yes",""
"Unum Group SACE","TN","Health Plan","531732","08/03/2023","Hacking/IT Incident","Network Server","No",""
"HCA Healthcare","TN","Business Associate","11270000","07/31/2023","Hacking/IT Incident","Network Server","Yes",""
"Dean Health Service Company, LLC (referenced herein as ""WellFirst Health"")","MN","Business Associate","1027","07/28/2023","Hacking/IT Incident","Network Server","Yes",""
"Florida Health Sciences Center, Inc. dba Tampa General Hospital ","FL","Healthcare Provider","2430920","07/28/2023","Hacking/IT Incident","Network Server","No",""
"CareSource","OH","Business Associate","3180537","07/27/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Family Vision of Anderson, P.A.","SC","Healthcare Provider","62631","07/25/2023","Hacking/IT Incident","Network Server","No",""
"Bi-Bett Corporation","CA","Business Associate","4722","07/25/2023","Hacking/IT Incident","Email","Yes",""
"New England Life Care, Inc.","ME","Healthcare Provider","51854","07/21/2023","Hacking/IT Incident","Network Server","No",""
"Mindful Innovations, PLLC","NC","Healthcare Provider","1900","07/20/2023","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Email, Laptop","No",""
"Associated Pathologists, LLC dba PathGroup Health Plan","TN","Health Plan","2031","07/18/2023","Hacking/IT Incident","Network Server","Yes",""
"ACUPUNCTURE AND INTEGRATIVE SOLUTIONS INCORPORATED","OH","Healthcare Provider","750","07/18/2023","Hacking/IT Incident","Network Server","No",""
"IVF Michigan, P.C.","MI","Healthcare Provider","9383","07/18/2023","Hacking/IT Incident","Network Server","No",""
"East Houston Medicine and Pediatrics Clinic","TX","Healthcare Provider","13184","07/13/2023","Loss","Paper/Films","No",""
"Kansas Joint & Spine Specialists ","KS","Healthcare Provider","83869","07/12/2023","Hacking/IT Incident","Network Server","No",""
"Konen & Associates dba Unified Pain Management ","TX","Healthcare Provider","5922","07/12/2023","Hacking/IT Incident","Email","No",""
"Miracle-Ear Flagship, LLC","MN","Healthcare Provider","3560","07/07/2023","Hacking/IT Incident","Email","No",""
"Parsley Health, Inc. ","NY","Business Associate","1004","07/07/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"South Suburban Surgical Suites, LLC","IN","Healthcare Provider","5340","06/30/2023","Hacking/IT Incident","Email","No",""
"Activate Healthcare LLC","IL","Healthcare Provider","93761","06/23/2023","Hacking/IT Incident","Network Server","No",""
"Classic Residence Management Limited Partnership","IL","Healthcare Provider","12405","06/02/2023","Hacking/IT Incident","Network Server","No",""
"Upstream RollCo, LLC","AL","Healthcare Provider","748678","04/22/2023","Hacking/IT Incident","Email","No",""
"ProSmile Holdings, LLC","NJ","Business Associate","39674","03/28/2023","Hacking/IT Incident","Email","Yes",""
"MHMR Authority of Brazos Valley ","TX","Healthcare Provider","78984","02/28/2023","Hacking/IT Incident","Network Server","No",""
"Shady Lane Nursing Home","NJ","Healthcare Provider","566","02/17/2023","Hacking/IT Incident","Desktop Computer, Laptop, Network Server","No",""
